,Item.ShippingDetails.ShippingType,Loại vận chuyển,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ShippingDetails.ShippingType
,Item.ShippingDetails.ShippingServiceOptions.ShippingService,Tên dịch vụ vận chuyển,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ShippingDetails.ShippingServiceOptions.ShippingService
,Item.ShippingDetails.ShippingServiceOptions.ShippingServiceCost,Chi phí vận chuyển,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ShippingDetails.ShippingServiceOptions.ShippingServiceCost
,Item.ShippingDetails.ShippingServiceOptions.ShippingServicePriority,Độ ưu tiên vận chuyển,,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ShippingDetails.ShippingServiceOptions.ShippingServicePriority
,Item.ReturnPolicy.ReturnsAcceptedOption,Có chấp nhận trả hàng không,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ReturnPolicy.ReturnsAcceptedOption
,Item.ReturnPolicy.RefundOption,Hình thức hoàn tiền,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ReturnPolicy.RefundOption
,Item.ReturnPolicy.ReturnsWithinOption,Thời gian được trả hàng,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ReturnPolicy.ReturnsWithinOption
,Item.ReturnPolicy.ShippingCostPaidByOption,Ai trả phí ship khi hoàn hàng,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ReturnPolicy.ShippingCostPaidByOption
,Item.PictureDetails.PictureURL,Danh sách ảnh sản phẩm,TRUE,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.PictureDetails.PictureURL
,Item.Country,Quốc gia của sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Country
,Item.Location,Địa điểm sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Location
,Item.PostalCode,Mã bưu điện,,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.PostalCode
,Item.Currency,Đơn vị tiền tệ,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Currency
,Item.HitCount,Số lượt xem,TRUE,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html
,Item.WatchCount,Số người theo dõi,TRUE,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.WatchCount
,Item.BestOfferDetails.BestOfferEnabled,Có bật trả giá không,,,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.BestOfferDetails.BestOfferEnabled
,Item.BestOfferDetails.BestOfferCount,Số lượng offer,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.BestOfferDetails.BestOfferCount
,Item.ItemSpecifics.NameValueList.Name,Tên thuộc tính sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ItemSpecifics.NameValueList.Name
,Item.ItemSpecifics.NameValueList.Value,Giá trị thuộc tính sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ItemSpecifics.NameValueList.Value
,Item.Variations.Variation.SKU,Mã SKU của biến thể,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Variations.Variation.SKU
,Item.Variations.Variation.StartPrice,Giá của biến thể,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Variations.Variation.StartPrice
,Item.Variations.Variation.Quantity,Số lượng biến thể,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Variations.Variation.Quantity
,Item.Variations.Variation.VariationSpecifics.NameValueList.Name,Tên thuộc tính biến thể,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ItemSpecifics.NameValueList
,Item.Variations.Variation.VariationSpecifics.NameValueList.Value,Giá trị thuộc tính biến thể,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ItemSpecifics.NameValueList
