keyword,ebay_title,ebay_url,ebay_seller,ebay_seller_feedback,ebay_seller_score,ebay_price_usd,ebay_buyer_shipping_usd,ebay_image,supplier_source,supplier_name,supplier_url,supplier_price_jpy,supplier_shop,supplier_condition,match_score,fvf_category,duty_category,weight_kg,gross_revenue_usd,total_ebay_fees_usd,shipping_cost_usd,shipping_cost_jpy,purchase_price_usd,fx_loss_usd,us_import_duty_usd_buyer_pays,us_import_duty_rate,net_profit_usd,net_profit_jpy,profit_margin_pct,breakeven_purchase_jpy,fx_rate_usd_jpy,market_total_listed,market_unique_sellers,market_jp_sellers,market_us_sellers,market_price_min_usd,market_price_median_usd,market_price_p75_usd,market_price_max_usd,evidence_score,evidence_verdict,demand_signal,competition_signal,price_competitiveness,evidence_rationale
Seiko Prospex SPB Japan,Seiko SBDC197/SPB453 PROSPEX DIVER SCUBA 1965 Heritage Japan Import NEW,https://www.ebay.com/itm/336414215246?_skw=Seiko+Prospex+SPB+Japan&hash=item4e53d98c4e:g:j5EAAOSwwfdn17mi&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGb0pPDHOND5w4DrF234zXQd%2Fe2BN5%2BIU3v5vNLyzW2p%2Fx6mogexumqpCqZFFJNWE%2BbxY1JOGw9dO%2F6ZZhe%2FGyhf9dAI16z3AQzawev4a3UILrCCMvTadxj4GHSi8r0vWtu76LygRtbPo7nsJeGqFIW3n%2FLlTd4C0UJVuVKPySYdpD4WJ3VBcaNYxZO%2FCVIRjDa5dthQUEp%2BFbtsAvTDo%2BTyBzmoxXnyH9w%2B5gyrITr9kYmP5lvdCEubzTWWIhyyJLcF8koT6Erk2t9oslniSWGAYMUdvVA0vTt7JP1lU93dWA%3D%3D,premium-japan,99.6,10522,1140.0,215.0,https://i.ebayimg.com/images/g/j5EAAOSwwfdn17mi/s-l225.jpg,yahoo_shopping,【純正シリコンバンド プレゼント】 SEIKOプロスペックス SBDC197 PROSPEX 1965メカニカルダイバーズ 現代デザイン,https://store.shopping.yahoo.co.jp/tokei10/sbdc197.html?sc_i=shopping-pc-web-result-item-rsltlst-title,140520,tokei10,unknown,96.1,watches_under5k,watches,0.4,1355.0,253.11,19.29,3020,815.95,9.9,182.4,0.16,253.56,39697,18.71,184186,156.56,474,34,1,60,66.68,829.99,995.0,1700.0,50.8,weak,high,healthy,loses,競合セラー=34人(healthy) / 同型番=1セラー / 総出品=474件 / $ 1140vs中央$ 800(loses) / 最古出品から3294日 / 上位セラー評価=53657
Seiko Prospex SPB Japan,Seiko SBDC195/SPB451 PROSPEX DIVER SCUBA 1965 Heritage Japan Import NEW,https://www.ebay.com/itm/336414213811?_skw=Seiko+Prospex+SPB+Japan&hash=item4e53d986b3:g:ToMAAOSwI8Jn2nRr&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaMHFPO%2FrbL%2FzCtylYC8bXt8szGCvtJGZkTD62TMVYqszst0%2BxgnaFlccPSoJLkscZm5murRx8rgXTsT3RTc8T0juM1%2F8C0x7UnWP3V3cS3GSmR1ZF9aaF9lrF%2B4TWOvYUwPyPVZ3qiQ7SnmmCX0TvwRnumkmLmoycQR%2FxItgyBJE0%2Be%2FwxZ%2FAFc%2FNqUi8M%2FgnLFhmhL2RGcpfOGMZGAist9JqF2aU4kwAoVabcMecfZNjbQttrIxAAle4tS8jYmkKc32effWtKcBKaNYpyUkFaLjI%2F%2B50bUqWj1CwH6NlbbA%3D%3D,premium-japan,99.6,10522,1040.0,215.0,https://i.ebayimg.com/images/g/ToMAAOSwI8Jn2nRr/s-l225.jpg,yahoo_shopping,【純正シリコンバンド プレゼント】  SEIKOプロスペックス SBDC195 PROSPEX 1965メカニカルダイバーズ 現代デザイン,https://store.shopping.yahoo.co.jp/tokei10/sbdc195.html?sc_i=shopping-pc-web-result-item-rsltlst-title,140520,tokei10,unknown,96.1,watches_under5k,watches,0.4,1255.0,234.46,19.29,3020,815.95,9.17,166.4,0.16,172.94,27075,13.78,170302,156.56,474,34,1,60,66.68,829.99,995.0,1700.0,50.8,weak,high,healthy,loses,競合セラー=34人(healthy) / 同型番=0セラー / 総出品=474件 / $ 1040vs中央$ 800(loses) / 最古出品から3294日 / 上位セラー評価=53657
Grand Seiko SBGA SBGV,SEIKO Grand Seiko AA1Y3JLK Bracelet Link SBGA025 SBGV223 SBGX261 SBGV221,https://www.ebay.com/itm/365563398435?_skw=Grand+Seiko+SBGA+SBGV&hash=item551d46c923:g:ZrYAAeSwyL1py6ti,topnotchjapan,99.7,1264,89.99,25.0,https://i.ebayimg.com/images/g/ZrYAAeSwyL1py6ti/s-l225.jpg,yahoo_shopping,Seiko グランドセイコー 純正 ベルト用駒 SBGA025 SBGV223 SBGX261 SBGX263 SBGV221 SBGX053 SBGR067 SBGX059 SBGE209バンド用コマAA1Y3JLK,https://store.shopping.yahoo.co.jp/ecwide/aa1y3jlk.html?sc_i=shopping-pc-web-result-item-rsltlst-title,5536,ecwide,unknown,94.1,watches_under5k,watches,0.4,114.99,21.85,19.29,3020,32.14,0.84,14.4,0.16,37.68,5900,32.77,12024,156.56,11,6,7,3,42.99,99.99,149.99,650.0,68.3,moderate,medium,sparse,wins,競合セラー=6人(sparse) / 同型番=5セラー / 総出品=11件 / $ 90vs中央$ 100(wins) / 最古出品から995日 / 上位セラー評価=7834
Grand Seiko SBGA SBGV,Grand Seiko GS link AA1Y3JLK SBGA025 SBGV223 SBGX261 SBGX263 SBGN003 SBGN005 etc,https://www.ebay.com/itm/235122685858?_skw=Grand+Seiko+SBGA+SBGV&hash=item36be6777a2:g:z1gAAeSwxWNo4xfR&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbOM%2BIGA9aqmFb9tsN4GN1%2F%2BaJ8j5TpGjoP7c81BM6OobEHlbECRR4dwwuL%2FaaGxh2xHaUZPQB9kdEqxdCD0U%2FZbNJegtyVuaLSEw%2Ba34C9WGposj7%2FJ5SA5%2F2CaQdUS%2FYYvHWaxKHcTMV1IKVKIvl2r%2FYFgMAiyPbeiqJOlqIHBokEjW0Egu2C9DTTXtm3BpnnhPn7f3R5BcBQiG2X2VvhbUCr1YEg%2FNzaCqZt5%2FKg6v29uANd3Zj5tpqnaLYorb6fGdANoBpPpY3RXyfRAF9RmB9w6S7MA3FLXvvYBvwTzQ%3D%3D,atsuki1860,99.5,2121,97.98,36.0,https://i.ebayimg.com/images/g/z1gAAeSwxWNo4xfR/s-l225.jpg,yahoo_shopping,Seiko グランドセイコー 純正 ベルト用駒 SBGA025 SBGV223 SBGX261 SBGX263 SBGV221 SBGX053 SBGR067 SBGX059 SBGE209バンド用コマAA1Y3JLK,https://store.shopping.yahoo.co.jp/ecwide/aa1y3jlk.html?sc_i=shopping-pc-web-result-item-rsltlst-title,5536,ecwide,unknown,98.8,watches_under5k,watches,0.4,133.98,25.39,19.29,3020,32.14,0.98,15.68,0.16,52.99,8296,39.55,14661,156.56,11,6,7,3,42.99,99.99,149.99,650.0,77.0,strong,medium,sparse,wins,競合セラー=6人(sparse) / 同型番=5セラー / 総出品=11件 / $ 98vs中央$ 100(wins) / 最古出品から995日 / 上位セラー評価=7834
Grand Seiko SBGA SBGV,Grand Seiko GS link Titanium AA031TLK SBGX067 SBGX069 SBGX267 SBGA211 SBGX127etc,https://www.ebay.com/itm/235582765841?_skw=Grand+Seiko+SBGA+SBGV&hash=item36d9d3bb11:g:HSgAAOSwL7VnlYMZ&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZ8hB3xkjLKbXzPYphj2yTi4yPlj%2FW4YKdqitGRK%2B38g%2BGtw8uuc%2BW%2Bl8V8sZ4ecA%2BekbR2ibdLmOCjA%2FSnGK11awIVTeSA9zm9b4L4n9Dinfp8Pp1ts0ouLWj4dq8tc228T8P4%2BheSkaT0%2FD%2BKtRCV0IZ0LV55RK8jkpxxCBGhspXnXK18CfPZESVGY%2FAheSKiMFbN%2BjxFOrWP%2FAhbTXZGPK2TOl4iP9CZbzmZeuZrF9tNywpvNk7LMzuFvPxE47FXDNWKLMgo%2BUz7kEYZOUxFsGFj%2BSU55zei5J%2FrIZZV7g%3D%3D,atsuki1860,99.5,2121,149.99,36.0,https://i.ebayimg.com/images/g/HSgAAOSwL7VnlYMZ/s-l225.jpg,yahoo_shopping,Seiko グランドセイコー純正 SBGX067 SBGX069 ベルト用 駒  AA03321T9純正バンド用 AA031TLK,https://store.shopping.yahoo.co.jp/ecwide/aa031tlk.html?sc_i=shopping-pc-web-result-item-rsltlst-title,12526,ecwide,unknown,93.5,watches_under5k,watches,0.4,185.99,35.09,19.29,3020,72.73,1.36,24.0,0.16,54.33,8506,29.21,21882,156.56,11,6,7,3,42.99,99.99,149.99,650.0,45.3,weak,medium,sparse,loses,競合セラー=6人(sparse) / 同型番=2セラー / 総出品=11件 / $ 150vs中央$ 100(loses) / 最古出品から995日 / 上位セラー評価=7834
Grand Seiko SBGA SBGV,Genuine New Grand Seiko Watch Bracelet Link AA1Y3JLK SBGA025 SBGV223,https://www.ebay.com/itm/317467465971?_skw=Grand+Seiko+SBGA+SBGV&hash=item49ea8918f3:g:Y-4AAeSwmtFoiLr3&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaQIwFqt21Dknxd5KhAWlVHKTSNruesKaYQBB4LHWucFbd8CGSf4zKMVTrgmDdVqvaOWi74zknRj3GyKmHIK9MwycBymVUVRZw3FOtCxrbL1Tp7uAK4OzZhdCH2xIYps17XCpzaVd1qbC%2BwsNNjAk9kl3%2FXTRN6NjaqwJi9loKPlgUNty%2FSeQy8k6rmi2mFEiOb3GGv1p00sRZ%2BjliyAKG2Ur4jGFzbwbpLGZm89RdUD2AQ3B9vo5AldWlZ3%2FAPFtSixBkW37TFTTNGimkx380TcTIl5VMmgX78zW9JmuwO2A%3D%3D,j-style.lx,99.1,5829,117.99,20.0,https://i.ebayimg.com/images/g/Y-4AAeSwmtFoiLr3/s-l225.jpg,yahoo_shopping,Seiko グランドセイコー 純正 ベルト用駒 SBGA025 SBGV223 SBGX261 SBGX263 SBGV221 SBGX053 SBGR067 SBGX059 SBGE209バンド用コマAA1Y3JLK,https://store.shopping.yahoo.co.jp/ecwide/aa1y3jlk.html?sc_i=shopping-pc-web-result-item-rsltlst-title,5536,ecwide,unknown,88.2,watches_under5k,watches,0.4,137.99,26.14,19.29,3020,32.14,1.01,18.88,0.16,56.23,8803,40.75,15218,156.56,11,6,7,3,42.99,99.99,149.99,650.0,57.8,weak,medium,sparse,loses,競合セラー=6人(sparse) / 同型番=5セラー / 総出品=11件 / $ 118vs中央$ 100(loses) / 最古出品から995日 / 上位セラー評価=7834
Grand Seiko SBGA SBGV,Seiko Grand Seiko Genuine Link AA1Y3JLK for SBGA025/SBGV223/SBGX261 Bracelet,https://www.ebay.com/itm/127290905592?_skw=Grand+Seiko+SBGA+SBGV&hash=item1da32113f8:g:VqMAAeSwLy1pa0Fk,sweetcorn-japan,100.0,177,77.19,18.0,https://i.ebayimg.com/images/g/VqMAAeSwLy1pa0Fk/s-l225.jpg,yahoo_shopping,Seiko グランドセイコー 純正 ベルト用駒 SBGA025 SBGV223 SBGX261 SBGX263 SBGV221 SBGX053 SBGR067 SBGX059 SBGE209バンド用コマAA1Y3JLK,https://store.shopping.yahoo.co.jp/ecwide/aa1y3jlk.html?sc_i=shopping-pc-web-result-item-rsltlst-title,5536,ecwide,unknown,92.6,watches_under5k,watches,0.4,95.19,18.15,19.29,3020,32.14,0.69,12.35,0.16,21.72,3401,22.82,9275,156.56,11,6,7,3,42.99,99.99,149.99,650.0,57.8,weak,medium,sparse,loses,競合セラー=6人(sparse) / 同型番=5セラー / 総出品=11件 / $ 77vs中央$ 100(loses) / 最古出品から995日 / 上位セラー評価=7834
BOSS pedal DD-200 Japan,Boss DD-200 DIGITAL DELAY Guitar Effects Pedal Brand New in Box Express Shipping,https://www.ebay.com/itm/295490504980?_skw=BOSS+pedal+DD-200+Japan&hash=item44cc9b4914:g:3xsAAOSw8vxj0IjX,japan-media-store,99.9,14276,243.08,30.0,https://i.ebayimg.com/images/g/3xsAAOSw8vxj0IjX/s-l225.jpg,rakuten,【ESP直営店】【お取り寄せ商品】BOSS DD-200 Digital Delay[エフェクター、effectspedal],https://item.rakuten.co.jp/esp/10010872/?variantId=10010872,33000,ESP CRAFT HOUSE楽天市場店,unknown,98.7,musical_inst,musical_inst,3.0,273.08,45.87,44.71,7000,191.61,2.04,40.59,0.167,-14.35,-2246,-5.25,30528,156.56,118,58,41,39,120.0,288.86,395.0,841.82,61.1,moderate,medium,saturated,loses,競合セラー=58人(saturated) / 同型番=43セラー / 総出品=118件 / $ 243vs中央$ 287(loses) / 最古出品から3182日 / 上位セラー評価=604908
BOSS pedal DD-200 Japan,NEW Boss DD-200 Digital Delay Guitar Pedal Japan,https://www.ebay.com/itm/168316871288?_skw=BOSS+pedal+DD-200+Japan&hash=item273077a278:g:TrYAAeSwh5lp4-Al,treasures_japan,100.0,127,663.69,29.0,https://i.ebayimg.com/images/g/TrYAAeSwh5lp4-Al/s-l225.jpg,rakuten,BOSS / DD-200 Digital Delay ディレイ ボス DD200【YRK】【PTNB】,https://item.rakuten.co.jp/ishibashi/83-4957054514600/?variantId=83-4957054514600,33000,イシバシ楽器 WEB SHOP,unknown,100.0,musical_inst,musical_inst,3.0,692.69,115.73,44.71,7000,191.61,5.18,110.84,0.167,332.26,52019,47.97,90219,156.56,118,58,41,39,120.0,288.86,395.0,841.82,61.1,moderate,medium,saturated,loses,競合セラー=58人(saturated) / 同型番=43セラー / 総出品=118件 / $ 664vs中央$ 287(loses) / 最古出品から3182日 / 上位セラー評価=604908
BOSS pedal DD-200 Japan,NEW Boss DD-200 Digital Delay Pedal + Accessories Japan,https://www.ebay.com/itm/168316870601?_skw=BOSS+pedal+DD-200+Japan&hash=item2730779fc9:g:WX0AAeSw3Wlp49~S,treasures_japan,100.0,127,401.68,29.0,https://i.ebayimg.com/images/g/WX0AAeSw3Wlp49~S/s-l225.jpg,rakuten,【ESP直営店】【お取り寄せ商品】BOSS DD-200 Digital Delay[エフェクター、effectspedal],https://item.rakuten.co.jp/esp/10010872/?variantId=10010872,33000,ESP CRAFT HOUSE楽天市場店,unknown,100.0,default,default,1.0,430.68,75.12,19.29,3020,191.61,3.19,60.25,0.15,138.27,21647,32.1,56810,156.56,118,58,41,39,120.0,288.86,395.0,841.82,61.1,moderate,medium,saturated,loses,競合セラー=58人(saturated) / 同型番=43セラー / 総出品=118件 / $ 402vs中央$ 287(loses) / 最古出品から3182日 / 上位セラー評価=604908
