keyword,ebay_title,ebay_url,ebay_seller,ebay_seller_feedback,ebay_seller_score,ebay_price_usd,ebay_buyer_shipping_usd,ebay_image,supplier_source,supplier_name,supplier_url,supplier_price_jpy,supplier_shop,match_score,fvf_category,duty_category,weight_kg,gross_revenue_usd,total_ebay_fees_usd,shipping_cost_usd,shipping_cost_jpy,purchase_price_usd,fx_loss_usd,us_import_duty_usd_buyer_pays,us_import_duty_rate,net_profit_usd,net_profit_jpy,profit_margin_pct,breakeven_purchase_jpy,fx_rate_usd_jpy
Tamiya Mini 4WD,TAMIYA GP.424 Mini 4WD Portable Pit 15424,https://www.ebay.com/itm/157255767769?_skw=Tamiya+Mini+4WD&hash=item249d2c96d9:g:xI8AAeSw5Jpp8gFD,be9innin9.japan,99.8,4113,80.68,0.0,https://i.ebayimg.com/images/g/xI8AAeSw5Jpp8gFD/s-l225.jpg,yahoo_shopping,タミヤ ミニ四駆グレードアップパーツ GP.424 ミニ四駆 ポータブルピット  ITEM15424,https://store.shopping.yahoo.co.jp/shoptakumi/item15424.html?sc_i=shopping-pc-web-result-item-rsltlst-title,2185,shoptakumi,84.7,default,default,1.0,80.68,14.4,18.91,3020,12.43,0.6,12.1,0.15,31.22,4987,38.69,7670,159.74
Canon EOS R6,Extendable Eyecup Eyepiece for Canon EOS R6 II R5 R6 R5C EOSR6 II EOSR5 EOSR6,https://www.ebay.com/itm/357894796613?_skw=Canon+EOS+R6&hash=item5354313545:g:U-4AAeSwVltpFWC0&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGa9xyHHAvZKvHKIoyX%2FuJfPSmf9Nz%2B--3wUsNKWL5Td6PMTuKlg4IylHuMyH9DMhyxF5BFIBRjQiCYZDkXsLEKw3Icb7ugs83Cv%2FwMh94GhJ%2F4IJ2U3NgzpzK8HZjX1VJEyIc5M5Ko5xyqPfZCj3H8HcTgkqx89WfcR85aNEiTE8PZZpMfM%2FVQ6LLxvDWQBSSrshh%2FMl4WpfKvatbBcbfYZL5wxeXFThjjAZQMKQ8NCOX2dbAt7O6arewcMGhP83hqQUeAQimevX6k7rzAPK0EULFZY4x10VQ6YK9mwv3E4xA%3D%3D,7daysmart,99.5,809,71.68,13.0,https://i.ebayimg.com/images/g/U-4AAeSwVltpFWC0/s-l225.jpg,rakuten,ハクバ DGF3-CAER6M3 液晶保護フィルムIII Canon EOS R6/R6 Mark III/R6 Mark II/R7専用 【メール便 送料無料】【即納】,https://item.rakuten.co.jp/shasinyasan/4977187348835/?variantId=4977187348835,1080,写真屋さんドットコム,93.2,cameras,cameras,1.2,84.68,12.81,31.3,5000,6.14,0.64,7.17,0.1,30.66,4897,36.2,6466,159.74
Nike Air Jordan 1,Nike AIR JORDAN 1 RETO HIGH OG DZ5485 106   Black Toe  Size 10,https://www.ebay.com/itm/127823504893?_skw=Nike+Air+Jordan+1&hash=item1dc2dfe5fd:g:GVEAAeSwcg9p6IIh,startlabojapan,0.0,0,100.0,35.0,https://i.ebayimg.com/images/g/GVEAAeSwcg9p6IIh/s-l225.jpg,rakuten,【中古】NIKE「AIR JORDAN 1 RETRO HIGH OG」 ハイカットスニーカー DZ5485 402 ダークパウダーブルー サイズ：27.5CM【価格見直し】,https://item.rakuten.co.jp/kind-u/8001001014234/?variantId=8001001014234,12760,ブランド古着のカインドオル,100.0,sneakers_high,sneakers_textile_rubber,1.5,135.0,16.26,31.3,5000,72.61,1.06,30.0,0.3,10.63,1698,7.88,14627,159.74
Nike Dunk Low,DB0500-200 Nike Dunk Low Scrap Archeo Brown Mosaic Bicoastal Sport Spice (Men's),https://www.ebay.com/itm/255938804087?_skw=Nike+Dunk+Low&hash=item3b97243977:g:P3EAAeSwcpBotkzL&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbE%2BXOijSJ%2Bre%2BZUigWlAxxnwDWtwNxbTzAD9tz3hA2reyKzPqM1tUYGynEv0mXolenn%2F%2Bm93ZnmaY6PM1UQItZQ4PhRgihLjRjeD1S6qGb1iY%2FKpXadme%2ByXfH8HvyDIF64ahaJ%2BvgLQFGSqKmvwjOtLREb71iVbAU%2B9MuqkuDfb4ox0K%2BXBpIMGR7RxsLRuo7W7FlGcmWZB%2Fv8FnCgbVk%2B7BgBlUxDtaV5A6BomqCsbf3qTzra2OdR5TTqNz0jKmrKQKnjtN8rfmmTsd5GZv0KMlYuN2ROaGnGBAdr4sDtw%3D%3D,badsneakersjp,99.9,11305,317.0,0.0,https://i.ebayimg.com/images/g/P3EAAeSwcpBotkzL/s-l225.jpg,rakuten,【海外限定 お取り寄せ商品】NIKE DUNK LOW SCRAP ARCHEO BROWN ナイキ ダンク ロー スクラップ アーキオブラウン DB0500-200 メンズ レディース 人気 おしゃれ,https://item.rakuten.co.jp/raise-sneaker/s-0010183/,40950,RAISE,97.6,sneakers_high,sneakers_textile_rubber,1.5,317.0,37.25,31.3,5000,233.05,2.5,95.1,0.3,9.77,1561,3.08,42666,159.74
Asics Gel-Lyte III,1203A579-100 Asics Gel-Lyte 3 Trico 2024 (Men's),https://www.ebay.com/itm/256586169079?_skw=Asics+Gel-Lyte+III&hash=item3bbdba3af7:g:NMMAAOSwGKhmsITD,badsneakersjp,99.9,11305,265.0,0.0,https://i.ebayimg.com/images/g/NMMAAOSwGKhmsITD/s-l225.jpg,rakuten,【お取り寄せ商品】ASICS GEL-LYTE 3 TRICO 2024 アシックス ゲルライト3 トリコ2024 1203A579-100 メンズ レディース 人気 おしゃれ,https://item.rakuten.co.jp/raise-sneaker/r-0028327/,33500,RAISE,98.7,sneakers_high,sneakers_textile_rubber,1.5,265.0,31.14,31.3,5000,190.65,2.09,79.5,0.3,6.69,1069,2.53,34675,159.74
Nike Dunk Low,DJ6188-200 Nike Dunk Low Retro Judge Grey Khaki White Hazel Rush Brown (Men's),https://www.ebay.com/itm/256327109416?_skw=Nike+Dunk+Low&hash=item3bae494b28:g:lZsAAOSworpnDjDu&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZnHCLSujK7y8yG4hPOJHSjn%2BnpKJRlHRpwbSzqV%2F1htP0q3fmClOUPmNhFNSFMN46DWgcz6jEtHY6C90GRK6iwqkiUbtbLtiHUjnxe3RHzH3FFNLp2p3Vylrj6b90AZbllMCKBacvm0xGIf5tlFMagkwyV3tAxolYn6ciOHOwRBWKF7M900OiQkROQ8BW%2FA7%2FFqKtzKRDQz8KRRvmg0mmaKBv5nG3pySrtyfuHSbjkY7RL5nSsXDGQmzXr0nVPtxt36ARJq26hlwL74jF0KZl1nPo99EcTUpi1N5aS5F2jyQ%3D%3D,badsneakersjp,99.9,11305,151.0,0.0,https://i.ebayimg.com/images/g/lZsAAOSworpnDjDu/s-l225.jpg,rakuten,10 (28cm) 国内正規品【NIKE DUNK LOW RETRO DJ6188-200 KHAKI/WHITE-HAZEL RUSH ナイキ ダンク ロー】,https://item.rakuten.co.jp/heavens21725/1004887/?variantId=1004887,18700,HEAVENS,100.0,sneakers_high,sneakers_textile_rubber,1.5,151.0,17.74,31.3,5000,106.42,1.19,45.3,0.3,-8.79,-1404,-5.82,17155,159.74
Nike Dunk Low,DD1391-300 Nike Dunk Low Miami Hurricanes Gorge Green Total Orange (Men's),https://www.ebay.com/itm/255930268534?_skw=Nike+Dunk+Low&hash=item3b96a1fb76:g:DycAAOSwfQBmF52X&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbxy90%2Bfcu%2FnSBQGf4EO38ZuuYsk9sD%2FGf88FBLppT%2B%2BWDDte0WuFe0%2FkSPn2t7mXvMQ6ikBdGueo6o7564u56jMsW5eaK9KJ0Wi4Czb2O5SjaJAO8U2jJCSYW%2B6rmpJYlsoMSnYH%2B6exeHm3sVpqw0%2B97CXvjl%2BW9OuYTvhGsqhTw0Anq3U4vD4on2VXy0diFYf4XRiETrLLEtJXJiJWRqzL2C7wqPGrRrkcQcf4lPz80t%2FcrxqZSTGrrPE3gccs9NWthpXifWgKlgoPolKn7E7S2iErG5l%2FlsPc1gKBbxAw%3D%3D,badsneakersjp,99.9,11305,130.0,0.0,https://i.ebayimg.com/images/g/DycAAOSwfQBmF52X/s-l225.jpg,rakuten,"2022 NIKE / ナイキDunk Low Retro""Gorge Green and Total Orange"" /ダンク ロー レトロゴージ グリーン アンド トータル オレンジ【DD1391-300】正規品 新古品【中古】",https://item.rakuten.co.jp/palm-nut/dd1391-300/,16500,PALM NUT,99.3,sneakers_high,sneakers_textile_rubber,1.5,130.0,15.68,31.3,5000,93.9,1.02,39.0,0.3,-15.03,-2400,-11.56,13858,159.74
Asics Gel-Lyte III,ASICS GEL-Lyte III 3 OG x ATMOS NYC Subway 1201A528-200 Men's Size,https://www.ebay.com/itm/315345728539?_skw=Asics+Gel-Lyte+III&hash=item496c11f41b:g:7JYAAOSwu05mYnfH,yumara13,99.8,12703,198.02,0.0,https://i.ebayimg.com/images/g/7JYAAOSwu05mYnfH/s-l225.jpg,rakuten,【お取り寄せ商品】ASICS GEL-LYTE 3 OG NYC SUBWAY アシックス ゲルライト3 OG NYC サブウェイ 1201A528-200 メンズ レディース 人気 おしゃれ,https://item.rakuten.co.jp/raise-sneaker/r-0020341/,27350,RAISE,100.0,sneakers_high,sneakers_textile_rubber,1.5,198.02,23.27,31.3,5000,155.65,1.56,59.41,0.3,-16.89,-2698,-8.53,24381,159.74
Onitsuka Tiger Mexico 66,Authentic Onitsuka Tiger MEXICO 66 1183C102 751 YELLOW BLACK,https://www.ebay.com/itm/315113505007?_skw=Onitsuka+Tiger+Mexico+66&hash=item495e3a80ef:g:bCUAAOSwupJlrpQi&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYbOcH2ntjrHdEU36NZsUR6naMo%2BT9BUnJ%2FjqzSFuTcYYWbDoFcSManZUOm8N8bPD7tiqdYhNV4P1GyWZlRDRbV8uy8FOfa1IzJHnqJ%2FlpRwuTwdNn9L6isb3LbeHcEBVvciiTVRd6c1P7N4hN5JMMC7rKiA0XpeUDXuIBqP8dXMgfS5WOA0MFWCJf0strWCRnr4%2BtPnYlVipajm9DOGvEV4LAyOyPxh8rT56ezBj6%2B186hl1FbzNMATrPD3vZ48DLFPdjEVW%2B2T%2FVT9%2Fz2Sh3nhpZWeNmv7m%2BK8%2FCB9HFYSA%3D%3D,good-value-japan,100.0,2422,139.0,39.0,https://i.ebayimg.com/images/g/bCUAAOSwupJlrpQi/s-l225.jpg,rakuten,"【15時までのご注文で即日発送！！】Onitsuka Tiger オニツカタイガー メキシコ スニーカー MEXICO 66 ""Yellow/Black"" ( 黄色 イエロー メンズ レディース ウィメンズ 1183C102-751 )",https://item.rakuten.co.jp/precious-place/6822/,24970,PRECIOUS PLACE,100.0,sneakers_high,sneakers_textile_rubber,1.5,178.0,21.32,31.3,5000,142.1,1.4,41.7,0.3,-21.25,-3394,-11.94,21235,159.74
Nike Dunk Low,HV5980-231 Nike Dunk Low Retro Year of The Snake (Men's),https://www.ebay.com/itm/256759953853?_skw=Nike+Dunk+Low&hash=item3bc815f9bd:g:hEEAAeSwoPposT0n&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGazv%2Bn%2B6%2BuWA%2B1%2BS8En5LiS9jM8JEmdNu8dnEu%2F0lzcwwTnF1het9v06RSvTVzNjKZtEQEV1o1I9V1QJDTa6GDUM1jMbRSGbNNZTHL%2Bn4rjvPCRC92hCUWvNFV3eLzVkRId8Rn9vgfEHSGIhuxs93X1bdmYD0jlQEYuU4qnRjMOFrfZOD2kh4hKAa9G0QIgnC8XuH9GH5r1JDtONicz%2BzFygY%2B0aY9E%2FH6weT4NUCNpyJ3riTLhHf0qcZFKmDJPZgFB1jlNtJHwXHES6BXgdKSPg4vbxnt13%2FLp9itVQZgqpA%3D%3D,badsneakersjp,99.9,11305,215.0,0.0,https://i.ebayimg.com/images/g/hEEAAeSwoPposT0n/s-l225.jpg,rakuten,【お取り寄せ商品】NIKE DUNK LOW RETRO YEAR OF THE SNAKE ナイキ ダンク ロー レトロ イヤー オブ ザ スネーク HV5980-231 メンズ レディース 人気 おしゃれ,https://item.rakuten.co.jp/raise-sneaker/r-0036067/,31250,RAISE,100.0,sneakers_high,sneakers_textile_rubber,1.5,215.0,25.26,31.3,5000,177.85,1.7,64.5,0.3,-24.24,-3872,-11.27,26991,159.74
Boss GT-1000,Boss GT-1000 Core Electric Guitar Multi-Effects Processor Pedal Black w/Adapter,https://www.ebay.com/itm/305670095528?_skw=Boss+GT-1000&hash=item472b5b82a8:g:XyoAAOSwQxRmkP86,samuraisoul142142,99.9,12189,534.11,133.0,https://i.ebayimg.com/images/g/XyoAAOSwQxRmkP86/s-l225.jpg,rakuten,【中古】BOSS / GT-1000 Guitar Effects Processor 【新宿店】【3/26 値下げ！】,https://item.rakuten.co.jp/ishibashi-shops/06-2800005215335/?variantId=06-2800005215335,94800,イシバシ楽器 17Shops,99.3,musical_inst,musical_inst,3.0,667.11,111.47,43.82,7000,539.51,4.99,89.2,0.167,-35.81,-5720,-5.37,88506,159.74
Onitsuka Tiger Mexico 66,Onitsuka Tiger MEXICO 66 Kill Bill 1183C102 751 YELLOW BLACK,https://www.ebay.com/itm/355315032752?_skw=Onitsuka+Tiger+Mexico+66&hash=item52ba6d22b0:g:DQ4AAOSwkoxlh7KT&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaBKBxQpIUseX7CAmIA5VMZHNG%2FjzwowUqqwKh5fpfAx4epsgmem3EPcG9RCdbwla8xwB6vV6hdT%2FjgpfcCImxFRmdia3FjHEGKgfDIzRZhRIcJNGtK4a6%2FK1cXbO86Tu66zAcJgYrhKgDvrWsFXWBiEVVSTlNZZZ4moi04T6EuQj9tcw2FVd%2Blf5Gj99%2BkJIUagn64fMcMrCrpjs344QiSOxnfPHGlPWLrHqFNWbyr7Jnsqxe%2FzfBIyKv32qeBO%2B3ILGSFEthyIPcZ9J0XdK0FCwybZq6%2Fr3mzhKK1d0hxqA%3D%3D,rioxxrinaxjapan,99.8,9464,150.0,30.0,https://i.ebayimg.com/images/g/DQ4AAOSwkoxlh7KT/s-l225.jpg,rakuten,オニツカタイガー スニーカー Onitsuka Tiger メンズ レディース MEXICO 66 メキシコ 66 BLACK ブラック 1183C102.002 シューズ,https://item.rakuten.co.jp/upsuke/sn-ot23-83c102002/,33290,upsuke,100.0,sneakers_high,sneakers_textile_rubber,1.5,180.0,21.15,31.3,5000,189.45,1.42,45.0,0.3,-66.45,-10615,-36.92,21612,159.74
